sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36
SN141,113128,-0.26170391664947446,0.021056794199884682,0.022625703189794875,0.01361615470667346,0.004984158219826838,-0.0020253537333496524,-0.02086048662819493,0.0045713833282653585,0.0009041223107929259,-0.005400668465361887,-0.003114298881721289,0.011369781875870595,0.0036556915919141873,-0.0005887292329141862,0.002548221414847074,0.0030331640990055495,0.014757873195363947,0.005383397452737032,-0.0020988819890543414,0.0024729932351547318,0.0003774366955995831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SN145,113129,0.01675532981243305,-0.020562973632269135,-0.02089049020185723,-0.007594942552767199,0.0016063862616572543,0.01398260427759126,-0.032709569773134106,0.02418500782881801,-0.019499654961050883,0.01243605374427378,-0.02966695249622002,0.003838483458256773,0.002208116908922712,0.01686139674042276,-0.00022370868177921022,0.0008927633123133733,0.00014514751895165564,0.0004503615470437952,-0.0024612579945306884,-0.0019337153143864688,-0.0009321813019874892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SN150,113131,0.13326091428538783,0.005347197469774146,-0.023827343726726034,0.024903646288991076,0.018043497396202993,0.02149512798292281,-0.04005401902648847,-0.010462336680964768,-0.005725561934713935,0.03372902018707576,0.02030707398514318,0.011906510005361231,-0.0069382848275847675,-0.007856893360177256,-0.002841694236254015,-0.008525384716086958,0.0024135010726969914,-0.003485085409809105,-0.001226410950293081,0.0005666439425556103,0.0013003507712099612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SN152,113132,-0.007346750255289383,-0.05604976432620959,-0.038217541579734914,0.015816362113085083,0.015074122651725877,0.022485211368993025,0.002612730461351109,0.013175074568684579,0.0056108730804719864,-0.0024734101999714353,0.00319849035177648,0.010378549718008457,-0.006737551006233841,0.0031927908917525672,0.005551906639644781,0.007619896872800872,-0.0018992105145271775,-0.003767702154999664,-0.002984099870884993,0.0006646311130325013,2.0380939627421526e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SN172,113138,0.023621522418421706,-0.033170911768762495,-0.07516286621744962,-0.025370116781763374,-0.0036619113061619273,0.009499728430793379,0.04434456306710435,-0.04142954620744768,0.006575515551964521,0.002483589881846512,-0.005835809265557654,0.028686086920711062,0.0023408417782005116,0.005583254435433484,0.0014531177192069573,0.002630312904915211,-0.0013903365466021592,0.0027802953944827836,0.0008239615388767294,-0.000542502024567071,0.0003440755023429491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SN190,113145,-0.1992371138471641,-0.016432142297570392,0.01768766665386988,-0.0002310167666163781,-0.018710901980116615,-0.005096146283896355,-0.014881817726423392,-0.011674057602502274,-0.0012432166081590337,0.0015522105755523502,-0.002049091812175952,-0.008093226319732999,0.003857293911880978,0.002615737477752244,0.00216402437194678,-0.0007601520162988996,0.0037556952224699304,-0.004902690604558204,0.005285192750795827,0.0018347459135177428,-0.0032482281005644918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SN33,113160,-0.18939111994890825,-0.0026330926857090395,-0.001611984575459368,-0.012090147538852205,-0.005045378794210529,-0.04076254241010929,0.03086022960621813,-0.01593413864678991,-0.022586925861796368,0.02111612394940686,0.0013471997348945622,0.0013502108701007448,0.0141592221235798,0.0026765783122904936,0.0020174118436400786,-0.004185035488663883,0.0004655251986634049,-0.001009155997246823,-0.0008848456262944691,0.0005459630103040807,-0.0005007079503130154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SN38,113163,0.08511460051249592,0.043703114947462464,0.19102971839274266,0.06462434792152232,0.07571299874688132,0.0464627657150558,-0.0013204485173092526,0.015423386680272528,-0.043016083994770936,-0.017302306341707076,-0.005094018588256846,0.0026605916670987143,0.007210304890799727,0.002341247486293454,0.0009973057562217193,3.709894621248975e-05,-9.783543494613945e-05,0.00012337120220433387,-0.0003311960389518449,-9.051314633241119e-05,9.655665007132647e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SN40,113165,-0.01361462160861934,-0.0549408501626384,-0.04026412309546467,0.009062213142826138,0.015176992619308726,0.023859216702204453,-0.00014126324546332776,0.017648443733168543,0.009394754758453859,0.005874288690751726,-0.006679094060787567,0.00777167356717169,-0.007634510229432133,-0.010349441126676297,0.007685814440706225,-0.004373937476631343,4.525202220325885e-05,0.0012387584312453916,0.004239117949271835,0.002333536880028217,-0.0009066626862550037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SN42,113166,-0.0200335389777573,-0.02785634030694067,-0.03808121244168674,0.008754589545100389,0.03191204168045112,0.002867248705266074,0.031893022855093885,-0.010916021260968821,-0.041308837184881736,-0.005425784680764009,0.004929101501909374,-0.020972050949967104,0.005693762108673918,-0.01818131536653229,-0.0005779207726660255,-0.0025701457235116115,-0.0012685679644120974,0.0033501719370314926,-0.0018143845851068003,-0.0017562404380711946,-0.00037833442502698315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
