sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36
S1166b,113099,0.3688092342908425,0.11964731969689371,0.17102070589278054,0.004632789175590528,0.11167914355508712,-0.0002748085344653426,0.010837077601129333,-0.020586649932515903,-0.0403028845853388,0.042548202327717284,-0.005191042790320435,-0.0030099804361794387,-0.006274251261357287,0.0010955135693518536,-0.0004394293244338684,-0.002061977272523905,0.0008295123860935802,0.0005314312958861108,4.3086678487009964e-05,-6.958780045578516e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S797,112991,0.4133364756369156,0.024975380525546903,0.02053251945544673,-0.021467185669314978,0.06283803760732519,-0.0073020589456633915,0.0059335445348317065,0.007761862045963424,0.04532207495136187,-0.020356044201314673,0.04399878569702916,-0.01584147240806178,-0.0033660025152509607,0.003330873657010432,-0.005718765855163773,0.0010476960084514848,-0.0014179145463120183,-0.00016086688353220564,-0.00037122666571247484,0.00028721106698187794,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S3204,113062,0.5791924564966444,0.15774483450867915,-0.11261224983135608,0.09936313060698329,0.04126056163204041,0.011810810115303834,-0.07596703710122524,0.017162666238935313,0.005578867970661713,0.01764489061014445,-0.015235064309482214,0.005737610833257615,-0.008186273519859911,-0.0028697036681834976,1.3176117156967103e-05,0.0024974638359307752,0.0010895036121544546,-8.066419646599798e-05,0.00017970569535885817,-5.19060873050984e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SN150,113131,0.1882749170597285,-0.02674608986532177,-0.009907826495069232,0.05014404635280082,-0.011257639530570993,0.030397040282662977,0.002572537820368546,-0.0449611335068089,0.04345010587641845,0.01992548023906925,0.0059899658268320385,-0.0027807323149084064,-0.01510951519009741,0.011130351764456006,-0.009744336158740024,-0.00731825968007772,0.0006339638869994143,0.0020455770381905053,0.00040277050382505757,-0.0008677835424254841,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S1133,113008,0.14856640293003212,-0.027958385744811458,-0.007012397363293531,0.04350930789329972,-0.004581129513607679,0.011024762630517701,0.0002947363497604687,-0.03126107112220635,0.04260751992515835,0.010419475147616193,-0.006414832588103103,-0.018473939124027863,0.008993155345068244,-0.001060018715206377,0.019299203078542052,0.003862332454923144,0.003688993413883808,-0.003825678752365026,-0.0006238776653735293,0.0011116078128547043,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S1104,113004,0.2101937825614315,-0.06563196485931518,0.03851493640194689,-0.027745238587717786,0.06754175867067004,-0.036493869238238476,-0.04751018259669383,0.0002223365044420944,-0.05410722110849589,-0.0704028568790828,-0.00800680333438889,-0.01030657194687168,0.006399945963859133,-0.002259908061062712,-0.001486104713588491,0.0004481565391150001,0.0008872382822130076,-0.00018277468979395201,0.00044272197295528473,6.770671257019525e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S2136,113193,0.2681427253949597,-0.0702676907983518,0.01448193694782892,-0.15723398174798867,-0.048469798652619564,0.06176136225439507,-0.041006217592716644,-0.07954661857594122,-0.025820122818858954,0.020767817522866286,-0.0022075838508311503,0.012508645025990205,-0.011513575299903503,-0.003417065646601895,-0.0036405900740847756,0.0023212626263482902,-0.00018041956662790548,0.0003888598537319718,-0.0002199767923316273,-0.00011538755359319843,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S179,112957,-0.026845556540662764,-0.05676285380694267,-0.048926598011067995,0.03223330664215035,0.03327624120642055,-6.576370932978753e-05,-0.00020196006483055393,0.0022423965567124,0.005077489671820771,-0.02988628565917619,-0.009167208641938296,-0.002582453742346006,-0.003994271588630649,0.019429289100545897,-0.021796446188963932,-0.0012558672207140693,0.0013002196862086062,-0.0020101926974316277,0.0007389030320101524,8.700037158410316e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S2284,113040,-0.301970735263693,-0.07392443186258374,-0.13840882593488665,-0.049887496463020896,0.0082834310396466,-0.033026477784552734,-0.0011507445067483518,-0.06468548531450569,0.011037118352945241,-0.006645378245570079,0.01484487188356194,0.011164013380959913,0.014246060776119588,-0.011198588436766127,0.0012613419778655563,-0.003204162968777207,0.0018867290417018073,-0.0005936508584727313,0.0016676851832940136,3.982487329018593e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SN145,113129,-0.03352032123546632,-0.057357204878471485,-0.06032532037689055,7.787770967024118e-05,-0.0016399996695047382,0.02655279354070386,-0.00621403265897694,0.012196453912096152,-0.00071640966919373,0.022430258801823186,-0.0055353650381691905,-0.0266503107480508,0.024385262486985967,-0.00864845188593513,-0.0114712056855484,0.00451472725480387,-0.00766522222619357,0.0013806819151009346,-0.00398783884538379,1.821788612006418e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SN152,113132,0.03831693457583275,-0.048357770864685276,-0.0343813017993909,0.019548183446078733,0.012286444182575563,0.021900727131040836,-0.006083720842266866,0.005586079143319521,-0.014524353622744379,-0.013872516035351355,0.013191242694763475,0.006326794144525232,-0.0051894774858975996,7.569870052075105e-05,0.010623265402026082,-8.772431172579111e-05,0.008031984086051097,-0.004226343561956241,-0.008511914287996136,-0.001153485109987195,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SN40,113165,0.023861269837128964,-0.053788281813973673,-0.04183801352637858,0.017804636825253732,0.0038172353089142006,0.02384421148746998,-0.009986943388830202,0.006701516973457518,-0.012398792399854796,-0.00731083745694197,0.011698986403356012,0.004945840106659353,-0.0034721874244438293,0.004741120948294037,0.008718656140260532,0.0013070219336236868,-0.0035611581219311917,0.003706673821520015,0.006286977073362356,0.0011967625010108644,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SN45,113167,0.05019484580912569,-0.05453567975061137,-0.0383860715821478,0.021565640692147826,0.007466304962003464,0.031222535792976375,-0.00684587823024223,0.015128962563611731,-0.007156747273571025,-0.0076977406636514,-0.0007747511973610859,0.011678669406254043,-0.0004096651012981981,-0.012565247143570133,-0.0031702551564316344,-0.018122342749444235,-0.0014225659712024342,0.0026688086080992384,-0.002737089230716225,-6.084533024962325e-06,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SN110,113115,0.0722143801139814,-0.04977278559905179,-0.03349060515482209,0.015832988679577793,-0.0009473215361848355,0.03351005492034742,-0.007305184294522371,0.012313059946817107,-0.00914697324031729,0.007816752314514508,0.0027850217801347367,-0.01075560616045067,0.005552675990966411,-0.0067285126109923425,0.0052959286081535025,0.00923414337890225,-0.0018947597959149368,0.0020900249559047987,0.0049021953114031834,-0.00047585775010031687,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SN96,113203,0.015916605629029842,-0.04170829503028796,-0.0178702202374906,0.027870560955365532,0.007525755392264841,0.026270484750379484,0.0083851252411675,0.036549525282287186,0.014668245159561187,-0.038592147318064624,-0.00030533878189767117,0.01271444154224432,-0.01769008812840126,-0.007670186932773969,0.009620057362937867,0.0005306452688741182,-0.0028807314778604228,-0.0013028167570285193,0.0011857889635463288,0.00012807386314926255,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
