sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36
SN33,113160,-0.09320863472258512,0.009160103965171888,0.0040665619661442425,0.0030474776286278905,-0.017629345883900974,-0.0022758581779984267,0.012339300588079471,0.004596699117929802,0.0016298442564781448,-0.0024247860122176466,-0.0072281631004830664,-0.0035585758721999377,-0.006767752555467011,0.0014914150569966308,-0.0029776952891776556,0.007380571728433677,0.0012946521825419944,-0.0026651264073067754,-0.0015712172167364087,0.00258212732664548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SN38,113163,0.07297512026603721,0.17196759963021607,-0.07248893970419942,0.013543261705014855,0.022094071495652155,0.0037851520752852077,-0.013361148904782091,0.0009805549750866059,0.004573558650235809,-0.0004893852200967654,0.0004808195571843124,0.005884803990475404,-0.0008122293061707995,-0.0003928360513496764,-0.0012371566238777898,0.00022308878773700413,-3.836100757189238e-05,-0.000610638157245021,0.0003007643411626999,-0.0004932234268488093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SN40,113165,-0.03186724972949181,-0.011805954784823826,0.0034545603674971974,-0.02135159497120183,-0.0013207298508942868,-0.0056232685396946334,-0.0017652804760806154,-0.012704532117443396,0.005351128262385532,0.009053476273655506,0.0059297410179696515,0.005754647641697133,0.004002696187223698,0.004598426162983911,-5.939777844670553e-05,0.004855286589879824,-0.005931211343926509,0.000993725724118601,0.004377465328652618,0.00040396050257773244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SN42,113166,-0.03997390824178714,-0.0024413772016729706,-0.0037349559887485217,-0.009572797831905828,0.00682430176881319,0.011027980620835072,0.003201391443598551,0.00663953469274649,0.00774041092937494,0.007662993745301453,0.0010037007497804063,0.00947074596114392,-0.010139125046536052,0.007563194441416871,-0.007939211193047255,0.0014343340273215983,0.008163035180144402,0.0042426838252251605,-0.0010552136466404265,-0.004340330790644587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SN45,113167,-0.019412367906370073,-0.011826585042692062,0.006603079610325357,-0.016994287065546104,0.0028367244877229012,0.010854954964204609,0.0023508107126762926,-0.00772055841248086,0.002257341925564723,0.015890183734915277,0.002033246012902576,0.0075066970094239275,0.0004025893182758202,0.0038215039052901883,0.0005680563206900614,-0.004225941718965686,-0.0064254681530806065,-0.003307649667879578,-0.003531460784957925,0.002649639209359383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SN63,113176,-0.011550281908761853,-0.03355533610079067,0.026575408499071678,-0.006216791889033383,-0.011186662514300035,-0.007288797738996551,-0.007741964489648016,-0.011001425769615311,0.03172975974708783,0.0008872802838450052,-0.005380894782955453,0.0054849339845588286,-0.00872234324129472,-0.004660205650500662,-0.0002650220089062344,-0.006409592173728753,0.0014809803743227076,-0.002346770712667538,0.0002929231775332412,0.00030424188321414447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SN72,113180,0.012892077545638373,0.0077887284955175905,0.01213563773731581,-0.03075750998703695,0.020434685790368435,-0.0028436813410324855,0.023920126611141727,0.007042953925106082,-0.011317231509621129,0.01832428581261643,-0.00678727737782561,-0.0033338237715228795,-0.004565288576667575,0.012421984497751053,0.007436652269219096,0.005525622881159814,0.002491826013061757,0.0008413509548600919,-0.0007747689139425419,0.0007180500006898744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SN92,113188,0.09434976669503513,-0.03913631588351121,0.019857655625372752,-0.016750877765485218,0.0009290838577347803,0.006111902325059134,0.014697878626242264,0.042078515960881475,0.01993854477785218,0.0014785160519165564,-0.005761544311046321,-0.0011258972180770992,0.01120258527918301,0.001974936119179551,0.003996104924194651,0.0012981881712036034,-0.0012270206021705189,-0.0032271897285396514,0.0005231785660847131,-0.002339347024415523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S2136,113193,0.13821678531205273,-0.030638506190318077,0.046232833655668965,0.015327522890098767,-0.04340016993857365,0.05984087432739774,-0.03814037870759053,-0.007431231457268411,-0.02262996640706615,0.013311964748822052,0.0005411219489989805,0.0015407277974522156,-0.0006413287918600019,0.0009209708507238616,0.0029448407393248333,-0.0004901969256025061,0.0025088862156943267,-5.0725162694041304e-05,0.0007218514387993131,-0.0006236085509623702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S2893,113194,-0.10830639870238497,0.0010512307351000021,0.00042374590373466637,0.01978968564558248,-0.02160220702429831,-0.04928798532784844,0.004278503954126132,-0.004433203872318989,-0.024116576575289404,0.01730048554624564,0.004469774036688551,0.00923692444954874,-0.004513129635581792,0.0007115906834857709,0.007027478437680385,-0.00017744978112201138,0.0019641906186194154,-0.001262368298822925,0.0011629724790172542,-0.00029375549861235294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
