"","OTU","Sample","Abundance","sample_name.1","Type","Parent.ID","Treatment","Species","Time.Point","Depth","Tank.num","Clade","Dups","Frag.ID","Domain","Phylum","Order","Class","Family","Genus","top.group"
"271","Otu00089","SN2",0.0806666666666667,"SN2","sample","306","Ambient","Pocillopora_acuta","T0","6.1","11","CCC","","N2","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Amoebophilaceae","Candidatus_Amoebophilus","abund"
"254","Otu00089","S3490",0.0796666666666667,"S3490","sample","308","High","Pocillopora_acuta","T1","6.7","11","CCC","","3490","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Amoebophilaceae","Candidatus_Amoebophilus","abund"
"174","Otu00055","S1061",0.078,"S1061","sample","301","Ambient","Pocillopora_acuta","TF","4.9","5","CCC","","1061","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","Algicola","abund"
"22","Otu00001","SN30",0.075,"SN30","sample","307","Ambient","Pocillopora_acuta","T0","4.9","4","C42","","N30","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","Endozoicomonas","abund"
"170","Otu00055","S785b",0.0723333333333333,"S785b","sample","306","Ambient","Pocillopora_acuta","TF","6.1","9","CCC","","779","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","Algicola","abund"
"367","Otu00151","S3059",0.0713333333333333,"S3059","S3059","301","High","Pocillopora_acuta","T1","4.9","6","CCC","","3059","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","abund"
"268","Otu00089","SN158",0.0583333333333333,"SN158","sample","307","Ambient","Pocillopora_acuta","TF","4.9","5","C42","","N158","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Amoebophilaceae","Candidatus_Amoebophilus","abund"
"300","Otu00101","SN198",0.0493333333333333,"SN198","sample","305","Ambient","Pocillopora_acuta","T1","6.1","9","C42","","N198","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadales_unclassified","Alteromonadales_unclassified","abund"
"235","Otu00089","S2402",0.0473333333333333,"S2402","sample","306","High","Pocillopora_acuta","T1","6.1","3","CCC","","2402","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Amoebophilaceae","Candidatus_Amoebophilus","abund"
"30","Otu00001","S3512",0.0456666666666667,"S3512","sample","310","High","Pocillopora_acuta","T1","4.0","7","CCC","","3512","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","Endozoicomonas","abund"
"301","Otu00101","S785b",0.0456666666666667,"S785b","sample","306","Ambient","Pocillopora_acuta","TF","6.1","9","CCC","","779","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadales_unclassified","Alteromonadales_unclassified","abund"
"333","Otu00114","SN197b",0.0456666666666667,"SN197b","sample","309","Ambient","Pocillopora_acuta","T1","5.5","8","C42","","N197","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Thalassobius","abund"
"127","Otu00028","S473",0.0446666666666667,"S473","sample","305","High","Pocillopora_acuta","TF","6.1","7","C42","","473","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Amoebophilaceae","Candidatus_Amoebophilus","abund"
"321","Otu00114","S403",0.0433333333333333,"S403","sample","309","Ambient","Pocillopora_acuta","TF","5.5","9","C42","","403","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Thalassobius","abund"
"40","Otu00002","S3086",0.0423333333333333,"S3086","sample","309","High","Pocillopora_acuta","T1","5.5","11","C42",NA,"3086","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","Endozoicomonas","abund"
"190","Otu00055","SN198",0.0413333333333333,"SN198","sample","305","Ambient","Pocillopora_acuta","T1","6.1","9","C42","","N198","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","Algicola","abund"
"138","Otu00028","S2226",0.0396666666666667,"S2226","sample","312","Ambient","Pocillopora_acuta","TF","5.8","8","CCC","","2226","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Amoebophilaceae","Candidatus_Amoebophilus","abund"
"330","Otu00114","SN198",0.0386666666666667,"SN198","sample","305","Ambient","Pocillopora_acuta","T1","6.1","9","C42","","N198","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Thalassobius","abund"
