"","taxa_id","x","y","zero_ind","contrast","Domain","Phylum","Order","Class","Family","Genus"
"66","Otu00117",0.856719977761549,0,"No","T1","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidia_unclassified","Bacteroidia_unclassified","Bacteroidia_unclassified"
"67","Otu00127",0.363507622692805,0,"No","T1","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","Hyphomonadaceae_unclassified"
"68","Otu00127",0.537039178386258,0,"No","TF","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","Hyphomonadaceae_unclassified"
"69","Otu00128",0.111020060960325,0,"No","TF","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","Endozoicomonas"
"70","Otu00139",-0.0339748757473215,0,"No","TF","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Cyclobacteriaceae","uncultured"
"71","Otu00139",0.523080832756216,0,"No","T1","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Cyclobacteriaceae","uncultured"
"72","Otu00141",-0.168964670434403,0,"No","T1","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Muricauda"
"73","Otu00141",-0.309322079819836,0,"No","TF","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Muricauda"
"74","Otu00142",-0.0593688992457594,0,"No","TF","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","AEGEAN-169_marine_group","AEGEAN-169_marine_group_ge"
"75","Otu00142",-0.0870087021554922,0,"No","T1","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","AEGEAN-169_marine_group","AEGEAN-169_marine_group_ge"
"76","Otu00143",-0.394945538370775,0,"No","TF","Bacteria","Cyanobacteria","Oxyphotobacteria","Phormidesmiales","Nodosilineaceae","uncultured"
"77","Otu00144",0.86489126627662,0,"No","TF","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Amoebophilaceae","Candidatus_Amoebophilus"
"78","Otu00146",0.296263677340987,0,"No","T1","Bacteria","Cyanobacteria","Oxyphotobacteria","Nostocales","Paraspirulinaceae","Spirulina_P7"
"79","Otu00146",0.156766865601112,0,"No","TF","Bacteria","Cyanobacteria","Oxyphotobacteria","Nostocales","Paraspirulinaceae","Spirulina_P7"
"80","Otu00151",-0.0960143002386316,0,"No","T1","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus"
"81","Otu00151",-0.120216867470531,0,"No","TF","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus"
"82","Otu00153",-0.178518377965506,0,"No","TF","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Stappiaceae","Labrenzia"
