"","OTU","Sample","Abundance","sample_name.1","Type","Parent.ID","Treatment","Species","Time.Point","Depth","Tank.num","Clade","Dups","Frag.ID","Domain","Phylum","Order","Class","Family","Genus","top.group"
"74","Otu00011","S1254",0.0706666666666667,"S1254","sample","362","Ambient","Pavona_varians","T1","6.0","1","C27","","1254","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Amoebophilaceae","Candidatus_Amoebophilus","core"
"98","Otu00011","SN108b",0.0706666666666667,"SN108b","sample","353","Ambient","Pavona_varians","T1","3.6","9","C1","","N108","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Amoebophilaceae","Candidatus_Amoebophilus","core"
"45","Otu00001","SN217",0.062,"SN217","sample","361","Ambient","Pavona_varians","TF","6.8","8","C1","","N217","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","Endozoicomonas","core"
"60","Otu00011","S1068",0.062,"S1068","sample","356","High","Pavona_varians","T1","5.0","3","C1","","1068","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Amoebophilaceae","Candidatus_Amoebophilus","core"
"83","Otu00011","S208",0.0523333333333333,"S208","sample","354","Ambient","Pavona_varians","T0","4.1","6","C27","Yes","208","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Amoebophilaceae","Candidatus_Amoebophilus","core"
"85","Otu00011","S422",0.0486666666666667,"S422","sample","357","Ambient","Pavona_varians","TF","4.7","8","C27","","422","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Amoebophilaceae","Candidatus_Amoebophilus","core"
"181","Otu00104","S1803",0.0463333333333333,"S1803","sample","325","High","Pavona_varians","TF","2.6","11","C1","","1803","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","Hyphomonadaceae_unclassified","core"
"87","Otu00011","S208b",0.0456666666666667,"S208b","sample","354","Ambient","Pavona_varians","T0","4.1","6","C27","Yes","208","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Amoebophilaceae","Candidatus_Amoebophilus","core"
"90","Otu00011","S391",0.042,"S391","sample","357","Ambient","Pavona_varians","T0","4.7","9","C27","","391","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Amoebophilaceae","Candidatus_Amoebophilus","core"
"111","Otu00011","SN35",0.042,"SN35","sample","353","Ambient","Pavona_varians","T0","3.6","11","C1","","N35","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Amoebophilaceae","Candidatus_Amoebophilus","core"
"47","Otu00001","S3383",0.0346666666666667,"S3383","sample","356","High","Pavona_varians","TF","5.0","6","C1","","3383","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","Endozoicomonas","core"
"149","Otu00096","S3137",0.0333333333333333,"S3137","sample","359","High","Pavona_varians","T1","2.0","2","C27",NA,"3137","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacteraceae_unclassified","core"
"113","Otu00011","SN35b",0.0276666666666667,"SN35b","sample","353","Ambient","Pavona_varians","T0","3.6","11","C1","","N35","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Amoebophilaceae","Candidatus_Amoebophilus","core"
