sample,analysis_type_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30
C31-C17d-C21-C31a-C21ac-C31g,87409,-0.09602251413017819,0.06970972590253313,0.001698204647303493,0.00021677716490907872,-0.00032040580784201936,0.004385030911568618,0.0045585783627875125,0.0017525828451206262,0.002761458428575842,-0.00813980418651972,0.000415471304161891,-0.0014943197346089046,-0.0020653478012059036,0.0055485547249689016,-0.0022254430046325245,-0.00021493716696445767,-0.0012004437376724843,0.00010082141837693274,2.4169174950898013e-06,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1d/C42.2/C1-C1k-C1b,87746,-0.013850084066554798,-0.12460402828821361,-0.019923239863607185,-0.003654430103410885,-0.00033289091857121954,0.0009731487870339409,0.0020867679880179043,-0.0036467546911637012,0.00039599153153423513,7.074826297937139e-05,0.0012477683435489532,-0.0011398259948136459,0.0005001416441290209,0.00043962476735169613,0.001751218087589431,0.00047631576638841166,-0.00011439207791245708,6.691171617507501e-05,-2.078896492125484e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1d-C1df-C42.2-C1,87747,-0.01703532783038108,-0.13986532580859348,-0.022788395831563325,-0.0013027882909328518,0.00017353057664945608,-0.005361267639833185,0.005230186758233117,-0.0020980671642706426,-5.6400095194302814e-05,0.0024380832974160065,0.005648910287349068,-0.004603298920118389,0.0005785628803968122,-0.0003927727947613918,-0.0024803453636957767,-0.0008081512639222615,-7.541774701703116e-05,-0.00028565406352947035,6.423673801677651e-07,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1d/C42.2/C1,87143,-0.01337172824783916,-0.12230523955208904,-0.01948068230214444,-0.003999901873432042,-0.0004079908707095849,0.0019221403085328984,0.001585775886502565,-0.003839584536504244,0.0004621610722498755,-0.00023862974110030007,0.001132224880489215,-0.0012840872082814127,0.0007094662880324037,0.0006770753149829747,0.0027889852279228008,0.0008335148654500566,4.76119808523162e-05,0.0003145730444197269,1.822350680556584e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1d-C42.2-C1ag-C1k-C42ax-C42ay-C1,87410,-0.014754786096911691,-0.12881797285163854,-0.020545621867369565,-0.0028989126763462746,-0.000184215102224357,-0.00047339439947112705,0.0021641736351927033,-0.0022598342915077308,0.0001603662411497433,-0.0009529670178497616,-0.007274600223221595,0.008151273294804253,-0.0023375925088157568,-0.0008722872394785856,-0.0018093433384375741,-0.0004620673790460853,-0.00018576265126279108,-0.0001607108457981315,-6.186234363812944e-07,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1/C1d/C42.2/C3-C1b-C3cg-C45c-C115k-C1au-C41p,87285,-0.005097362537059557,-0.08533556737837736,-0.0035766547499992,0.000919532862048016,-0.0003381887382435547,0.011704244749229929,-0.013390508017493084,0.01209469630482397,-0.0009550690388050911,-0.00013246385426302456,-0.0008624902525949196,-9.68956095599686e-05,0.0003621079880582954,0.0003010756348196463,0.002348993681438258,0.0005232011695533497,-0.0008417596995644826,0.0010592776302998138,6.641734026911266e-06,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C27-C3-C21-C27a,87073,0.0004926371656707943,-0.029895432696878287,0.11667388001834451,-0.04916052090710388,-0.0017721122088518208,0.00019857443777563237,-0.0016986983447556275,-0.0012926090255469046,0.0003492917467900123,-0.00010282932802072823,-0.00013485640826415963,-7.004839818415869e-05,0.00014394604994920693,-5.814103867376967e-06,-2.8325106408893704e-05,1.021843608332095e-05,3.370711873292937e-05,9.550916715011967e-06,4.1181787170210026e-07,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1/C3-C1c-C1b-C1w-C42.2,87697,0.002883501427140283,-0.05324036941821821,0.016914191512617034,0.015747592028883255,0.0012658470739345892,-0.006631484189113336,0.0053063068213321605,-0.0006643072385028121,-0.000748062726375695,-0.0002597411500843093,-0.0017527168436030952,-0.0015765951547499068,6.695617086669746e-07,-0.00011941012671647628,-0.0013439352361394859,0.00013970939393174523,0.0007799106616048378,0.002730742783979081,-1.5685509676063093e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1/C1c-C1b-C1al-C72k,87720,0.0020678206252534967,-0.05693642532177418,0.018991223451848917,0.019441179086862666,0.0018423966402852155,-0.014102209771523157,0.008998010002134056,0.0005416877452371827,-0.0012632128415255492,-0.0026816591012084577,-0.003255400586426488,-0.001163120108219542,0.001350884313793427,0.0006909939113362454,0.0030887888095680557,0.00019614700936886905,-0.0006420276991597162,-0.0013569496945311553,-1.3235840320804676e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1/C3-C1c-C1b-C72k-C42.2,87721,0.0028600322340400944,-0.053345286644638217,0.01715933061550068,0.016089512691927092,0.0013161477243283045,-0.007278299606471056,0.005629593065127936,-0.00048075246083143457,-0.0008403150818885893,-0.0006181227053369548,-0.00216510722582817,-0.0016725193483178658,0.00026027005435679104,6.106102152222159e-05,-0.0001649877808338783,0.0002762930661791388,-6.598897225253207e-05,-6.0839246445109394e-05,3.635781586365184e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1/C1b-C1u-C3-C1bo,87232,0.0034099385907911386,-0.0498770177686339,0.018216250344317675,0.014901678660596844,0.0011092465253030527,-0.003420678035921555,7.01689847196279e-05,0.002612311682532925,0.00021749471854097768,-0.0005747092077009485,0.00937054655817584,0.00801668180603052,-0.0018208568745634696,0.0008918006243489434,0.00011741027858173227,0.0005402725849909507,0.00021964592960299658,-0.00013579757654238626,5.849056493848907e-07,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1/C3,87257,0.007707008290920236,-0.028878999712387755,0.014212235141036152,0.0019091141909581214,-0.0008797995005032979,0.016116931545525497,-0.002949426368296567,-0.015427040413706052,0.0038343801559851546,0.0017430158474590674,0.00013242540860293678,-0.0007882206775611892,-0.0007899814801523708,-0.0009610885668543504,0.0006699731871603795,-0.001024757373553962,-0.00082766120602635,-0.0003055308098431966,-8.230137192399105e-06,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C15/C1/C3/C1b,87776,0.06491004670035148,-0.011485578903507326,-0.012049269464813817,-0.018818803269359852,-0.00015712787603481228,-0.022516581802271823,-0.010516587928607421,0.00028041969168789784,0.0032935906855407295,-0.0014190970260386012,0.0002513713104894507,0.0004332627612831313,0.001966107100617593,-0.00043892244558904695,-0.0001681003253005697,-0.00056385034028585,-7.667681762147382e-06,4.0708086103257307e-05,2.6539716953219367e-06,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1/C42.2/C3cg/C1j-C1b-C3-C1au-C45c-C115k,87786,0.00019395492505100978,-0.06360357562446914,0.010505128573344786,0.010575525870836199,0.0006453818580020271,0.004355168055822979,-0.00970143833039222,0.014034488834928196,-0.0018167349188305947,0.00040688935319336584,-0.0008585675503868366,-0.002399226748910617,0.0004608847097914415,-0.0002507049344931421,-0.001212645322384762,-0.0005492484939295795,6.267277519250077e-05,-0.0010619794578634785,-1.0648750487233392e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C42.2/C1-C1b-C3-C1au,87277,-0.0015619690060538912,-0.07129582404939054,0.002473277667340121,0.00449476184676712,-2.031562543816972e-05,0.006177708851108378,-0.00280292435579755,0.00025640111338167315,-0.00021800543933966934,0.0011791410435094529,-0.0012920797720198474,-0.0016358960092188741,-0.0006758255816833451,-0.00044935627851291524,-0.003487696296136454,-0.00017444507505413157,0.0016364203396915615,-0.00081943921969057,3.4160639577276943e-06,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C15-C15n,87320,0.17284058300621485,0.05049758338262944,-0.0029462510663537883,0.00073806199794124,0.0013474947066855183,0.0035272104564168134,0.0013183120046718036,-0.001797372283386415,-0.0003115306840052396,0.0005401572846205169,-0.00012898749412164226,0.00012750516275274466,0.0016716223878796344,0.00017832096226888175,-0.0006567314679080035,0.00041164418854072916,-4.1418045042675436e-05,1.0284994702882916e-05,0.00014295237433243097,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C15-C15ci-C15n-C15cj-C15cc-C15cl-C15l,87706,0.19416798477176314,0.05714155489089133,-0.006326707465944647,-0.002022698785836698,0.023085477576857905,-0.0017624985969552848,0.0009922191086079153,0.001660956184833636,-0.001445038215758279,0.0019952891812888944,-3.767301916773472e-05,-0.002175806064416274,-0.009576746773377377,-0.0005722924735114336,0.0014661479914205768,-0.0006975617081481863,0.00012492191425623602,-4.219409975146755e-06,-2.191188718275938e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C15h/C15,87327,0.19438996895085955,0.05652765403348831,-0.004056451218207233,0.0057018707628869675,-0.025766704230280123,0.002584656122696293,0.0005873805180741646,-0.0005659937299468383,-5.469120412283113e-05,-8.633716777664514e-05,-3.311656916174607e-05,0.00022409475723245817,0.0011208654766966784,0.0001188418263439527,-0.0002591392194463574,0.00021917566923155074,-5.113653083305842e-05,-6.195856025711404e-06,-0.00036982317233780703,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C15-C15ci-C15cj-C15cm-C15ch-C15n-C15ck,87731,0.20851518124670274,0.06049364333143243,-0.004998476671640253,0.0056273871516800515,0.039305329343798094,0.007137467015868057,-0.00013580343981195868,-0.0015410354862402196,0.0009366909039268507,-0.0015560236029763933,1.76143329417807e-05,0.0014711457859196565,0.0060572831342378545,0.0003913386694534139,-0.0007370509380709496,0.0003826037338716373,-5.669124187392455e-05,-4.076894975139716e-06,5.272656346122366e-06,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C15h,87149,0.20630197791323882,0.05985400679059083,-0.004665660866840616,0.008335142752723242,-0.038763645235540746,0.002077181425282044,0.00018649967066392516,0.00012301404332898193,3.834160458422259e-05,-0.00028106887631267345,1.4536120740379062e-05,4.902600153239165e-05,-0.000238420178900543,-1.0495218137274195e-05,0.0002544248151083004,-0.00014400172719903872,4.6516438468452776e-05,-2.3147709312975364e-06,0.00024315907707400355,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
proportion_explained,0,0.5817306039633687,0.3376937233147312,0.048332468737647474,0.013806234129186136,0.008274468014990663,0.0033065492272491945,0.0022804190117999244,0.0015552237089532085,0.0008921991518265361,0.0005777535689560768,0.000391413800876458,0.00035678064888416337,0.0003122836272246386,0.00022312168674060157,0.0001325667048662079,7.839042211614282e-05,3.05790111173131e-05,2.4795265224276185e-05,4.260042409873819e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
