Date,Frag.ID,Mass.g,Temp.C,Days,TimePoint,Parent.ID,Treatment,Species,Time.Point,Depth,Tank.num,X,Clade
3/21/17,436,7.696,27.02,0,Time0,357,Ambient,Pavona_varians,T1,4.7,4,,C27
3/21/17,1195,3.061,25.84,0,Time0,304,Ambient,Pocillopora_acuta,T1,6.4,4,,CCC
3/21/17,1418,9.955,25.62,0,Time0,325,Ambient,Pavona_varians,T1,2.6,4,,C1
3/21/17,N126,1.124,25.92,0,Time0,366,Ambient,Montipora_capitata,T1,7,4,,CD
3/21/17,N209,6.317,25.76,0,Time0,301,Ambient,Pocillopora_acuta,T1,4.9,4,,CCC
3/21/17,N49,2.329,25.96,0,Time0,372,Ambient,Montipora_capitata,T1,5.6,4,,C
3/21/17,N63,2.185,25.9,0,Time0,364,Ambient,Montipora_capitata,T1,6,4,,CD
3/21/17,N89,3.431,26.04,0,Time0,311,Ambient,Pocillopora_acuta,T1,7.3,4,,C42
3/21/17,420,5.635,26.23,0,Time0,354,Ambient,Pavona_varians,TF,4.1,4,,C27
3/21/17,840,1.438,27.091,0,Time0,371,High,Montipora_capitata,TF,3.4,4,,C
3/21/17,1104,1.636,25.99,0,Time0,365,Ambient,Montipora_capitata,TF,6.7,4,,CD
3/21/17,1279,3.483,26.14,0,Time0,302,Ambient,Pocillopora_acuta,TF,4.6,4,,CCC
3/21/17,1556,4.792,25.81,0,Time0,355,Ambient,Pavona_varians,TF,3.8,4,,C27
3/21/17,N110,1.929,26.05,0,Time0,369,Ambient,Montipora_capitata,TF,3.3,4,,CD
3/21/17,N115,5.762,26.11,0,Time0,322,Ambient,Porites_compressa,TF,1.5,4,,C15cj
3/21/17,N122,2.921,26.18,0,Time0,319,Ambient,Porites_compressa,TF,3.1,4,,C15cj
3/21/17,N189,2.199,25.86,0,Time0,313,Ambient,Porites_compressa,TF,5.8,4,,C15n
3/21/17,N191,4.507,26,0,Time0,353,Ambient,Pavona_varians,TF,3.6,4,,C1
3/21/17,314,2.036,26.73,0,Time0,305,High,Pocillopora_acuta,T1,6.1,6,,C42
3/21/17,1791,2.163,26.16,0,Time0,363,High,Montipora_capitata,T1,5.4,6,,C
3/21/17,2911,7.469,26.76,0,Time0,351,High,Pavona_varians,T1,4.6,6,,C27
3/21/17,3059,6.541,26.17,0,Time0,301,High,Pocillopora_acuta,T1,4.9,6,,CCC
3/21/17,3458,3.405,26.25,0,Time0,320,High,Porites_compressa,T1,0.8,6,,C15cj
3/21/17,3469,5.943,26.95,0,Time0,374,High,Montipora_capitata,T1,3.2,6,,CD
3/21/17,3475,2.195,26.42,0,Time0,313,High,Porites_compressa,T1,5.8,6,,C15n
3/21/17,3478,10.37,26.67,0,Time0,361,High,Pavona_varians,T1,6.8,6,,C1
3/21/17,3488,4.287,25.91,0,Time0,315,High,Porites_compressa,T1,2.5,6,,C15n
3/21/17,N157,4.141,26.65,0,Time0,322,High,Porites_compressa,T1,1.5,6,,C15cj
3/21/17,1437,2.504,26.61,0,Time0,367,High,Montipora_capitata,TF,5.8,6,,C
3/21/17,2284,1.736,26.49,0,Time0,369,High,Montipora_capitata,TF,3.3,6,,CD
3/21/17,3383,3.176,26.29,0,Time0,356,High,Pavona_varians,TF,5,6,,C1
3/21/17,3473,1.897,26.9,0,Time0,372,High,Montipora_capitata,TF,5.6,6,,C
3/21/17,3474,6.649,26.5,0,Time0,360,High,Pavona_varians,TF,2,6,,C27
3/21/17,3486,5.693,25.97,0,Time0,306,High,Pocillopora_acuta,TF,6.1,6,,CCC
3/21/17,3487,3.873,26.37,0,Time0,303,High,Pocillopora_acuta,TF,4.9,6,,CCC
3/21/17,3516,1.646,26.83,0,Time0,309,High,Pocillopora_acuta,TF,5.5,6,,C42
3/21/17,N55,6.28,26.53,0,Time0,318,High,Porites_compressa,TF,2.1,6,,C15n
3/21/17,431,4.951,25.2,0,Time0,306,Ambient,Pocillopora_acuta,T1,6.1,8,,CCC
3/21/17,809,6.138,24.24,0,Time0,323,Ambient,Porites_compressa,T1,1,8,,C15n
