Plate Name,Experiment Name,Specimen Name,Sample Name,Workspace Name,Plot Name,Gate Name,X Parameter,Y Parameter,Event Count,% Parent,% Total,Mean X,Mean Y,Median X,Median Y,Std. Dev. X,Std. Dev. Y,% C.V. X,% C.V. Y,Concentration
Symbio.Counts.Dec.14.2018.PlateA,Experiment,m_capitata,B10,Default,Global,All Events,Global,Global,"10,383",Disabled,Disabled,"0.000000","0.000000","---","---",Disabled,Disabled,"---","---","76.911111"
Symbio.Counts.Dec.14.2018.PlateA,Experiment,m_capitata,B10,Default,VL3-A vs BL3-H,Symbiodinium,VL3-A,BL3-H,"1,417",Disabled,Disabled,"1,278,696.375000","6,033,272.000000","854,441.0","7,320,562.0",Disabled,Disabled,"98.949330%","46.927521%","10.496296"
Symbio.Counts.Dec.14.2018.PlateA,Experiment,m_capitata,B10,Default,BL3-H vs Count,R1,BL3-H,Count,"234",Disabled,Disabled,"4,769,830.000000","---","5,294,438.0","---",Disabled,Disabled,"27.896288%","---","1.733333"
Symbio.Counts.Dec.14.2018.PlateA,Experiment,m_capitata,B12,Default,Global,All Events,Global,Global,"5,181",Disabled,Disabled,"0.000000","0.000000","---","---",Disabled,Disabled,"---","---","38.664179"
Symbio.Counts.Dec.14.2018.PlateA,Experiment,m_capitata,B12,Default,VL3-A vs BL3-H,Symbiodinium,VL3-A,BL3-H,"750",Disabled,Disabled,"1,715,643.750000","5,317,764.000000","1,132,691.0","6,481,120.5",Disabled,Disabled,"85.987352%","55.948962%","5.597015"
Symbio.Counts.Dec.14.2018.PlateA,Experiment,m_capitata,B12,Default,BL3-H vs Count,R1,BL3-H,Count,"227",Disabled,Disabled,"4,793,049.000000","---","5,294,026.0","---",Disabled,Disabled,"27.071544%","---","1.694030"
Symbio.Counts.Dec.14.2018.PlateA,Experiment,m_capitata,C1,Default,Global,All Events,Global,Global,"6,814",Disabled,Disabled,"0.000000","0.000000","---","---",Disabled,Disabled,"---","---","50.474074"
Symbio.Counts.Dec.14.2018.PlateA,Experiment,m_capitata,C1,Default,VL3-A vs BL3-H,Symbiodinium,VL3-A,BL3-H,"690",Disabled,Disabled,"1,201,893.625000","5,880,055.000000","628,682.5","7,603,916.5",Disabled,Disabled,"116.647813%","53.000206%","5.111111"
Symbio.Counts.Dec.14.2018.PlateA,Experiment,m_capitata,C1,Default,BL3-H vs Count,R1,BL3-H,Count,"98",Disabled,Disabled,"4,600,748.500000","---","4,863,595.5","---",Disabled,Disabled,"28.576396%","---","0.725926"
Symbio.Counts.Dec.14.2018.PlateA,Experiment,m_capitata,C2,Default,Global,All Events,Global,Global,"9,497",Disabled,Disabled,"0.000000","0.000000","---","---",Disabled,Disabled,"---","---","70.873134"
