Frag.ID,Weight,Wax.weight,difference,Surface.area,,y = 41.025x + 7.4667
N134,6.089,6.5835,0.4945,27.7535625,,
N138,8.1109,8.8924,0.7815,39.5277375,,
N141,1.1074,1.3225,0.2151,16.2911775,,
N145,9.1956,10.1201,0.9245,45.3943125,,
N149,5.4719,5.8321,0.3602,22.243905,,
N150,1.1654,1.4067,0.2413,17.3660325,,
N152,15.635,16.6369,1.0019,48.5696475,,
N157,5.2191,5.6919,0.4728,26.86332,,
N158,6.4025,7.1568,0.7543,38.4118575,,
N161,4.5284,4.922,0.3936,23.61414,,
N169,2.258,2.5836,0.3256,20.82444,,
N170,6.6352,7.536,0.9008,44.42202,,
N172,1.8529,2.1321,0.2792,18.92088,,
N18,5.8542,6.71,0.8558,42.575895,,
N181,6.4186,7.1743,0.7557,38.4692925,,
N183,2.9691,3.3774,0.4083,24.2172075,,
N184,1.301,1.5483,0.2473,17.6121825,,
N189,2.4148,2.5867,0.1719,14.5188975,,
N19,8.9394,9.8018,0.8624,42.84666,,
N190,2.3817,2.7602,0.3785,22.9946625,,
N191,6.0937,6.5561,0.4624,26.43666,,
N192,3.3811,3.866,0.4849,27.3597225,,
N197,4.5118,5.2601,0.7483,38.1657075,,
N198,4.9291,5.9988,1.0697,51.3511425,,
N2,2.5756,2.9499,0.3743,22.8223575,,
N205,8.5399,9.136,0.5961,31.9217025,,
N208,2.5633,2.9294,0.3661,22.4859525,,
N209,8.7382,9.8731,1.1349,54.0259725,,
N21,0.7263,0.8661,0.1398,13.201995,,
N211,5.3105,5.7528,0.4423,25.6120575,,
N212,1.772,2.0242,0.2522,17.813205,,
N217,5.3318,5.9858,0.654,34.29705,,
N222,9.1599,9.6995,0.5396,29.60379,,
N223,1.3207,1.5353,0.2146,16.270665,,
N25,8.5037,9.3022,0.7985,40.2251625,,
N3,2.8876,3.1639,0.2763,18.8019075,,
N30,3.1442,3.5595,0.4153,24.5043825,,
N33,1.1618,1.3262,0.1644,14.21121,,
N35,4.7263,5.9699,1.2436,58.48539,,
N37,3.8493,4.2062,0.3569,22.1085225,,
N38,3.5442,4.12,0.5758,31.088895,,
N4,2.572,2.9311,0.3591,22.1987775,,
N40,0.5178,0.6862,0.1684,14.37531,,
N42,4.4885,5.2044,0.7159,36.8364975,,
N45,2.3426,2.7545,0.4119,24.3648975,,
N47,7.2903,8.0062,0.7159,36.8364975,,
49,3.7542,4.7933,1.0391,50.0957775,,
N49,10.8243,11.7518,0.9275,45.5173875,,
N50,3.0336,3.3542,0.3206,20.619315,,
N55,9.1486,9.9302,0.7816,39.53184,,
N56,2.9705,3.5048,0.5343,29.3863575,,
N6,14.3445,16.026,1.6815,76.4502375,,
N60,4.2706,4.7248,0.4542,26.100255,,
N63,2.391,2.8089,0.4179,24.6110475,,
N64,0.9152,1.1733,0.2581,18.0552525,,
N7,3.461,3.6953,0.2343,17.0788575,,
N70,2.1525,2.3874,0.2349,17.1034725,,
N72,12.2255,13.6047,1.3792,64.04838,,
N77,14.0121,15.1209,1.1088,52.95522,,
N78,4.7043,5.1613,0.457,26.215125,,
N82,2.7017,3.1198,0.4181,24.6192525,,
N84,12.2057,13.015,0.8093,40.6682325,,
N85,3.3383,4.7746,1.4363,66.3909075,,
N87,4.2915,5.0151,0.7236,37.15239,,
N89,4.0673,4.6304,0.5631,30.5678775,,
N9,0.8145,0.9785,0.164,14.1948,,
N92,2.1491,2.4294,0.2803,18.9660075,,
N94,4.0857,4.8857,0.8,40.2867,,
N96,3.8223,4.2466,0.4243,24.8736075,,
N98,10.3526,11.2495,0.8969,44.2620225,,
1279,5.1228,6.4621,1.3393,62.4114825,,
3357,2.519,2.7241,0.2051,15.8809275,,
1412,1.5832,1.7966,0.2134,16.221435,,
238,3.7631,4.1282,0.3651,22.4449275,,
3116,1.8293,2.0569,0.2276,16.80399,,
2683,9.0905,9.4417,0.3512,21.87468,,
1929,25.2866,25.9341,0.6475,34.0303875,,
3675,1.7395,1.9694,0.2299,16.8983475,,
907,8.4542,9.0688,0.6146,32.680665,,
508,10.4125,11.1425,0.73,37.41495,,
1013,6.6228,6.9411,0.3183,20.5249575,,
1284,10.5315,10.6786,0.1471,13.5014775,,
626,11.4686,11.9403,0.4717,26.8181925,,
1330,12.4196,13.3442,0.9246,45.398415,,
828,11.0175,11.2303,0.2128,16.19682,,
965,1.9946,2.3211,0.3265,20.8613625,,
706,4.5268,5.1031,0.5763,31.1094075,,
1107,2.2863,2.5684,0.2821,19.0398525,,
982,16.7322,17.5672,0.835,41.722575,,
2730,1.6051,1.8727,0.2676,18.44499,,
1008,17.1903,17.9588,0.7685,38.9944125,,
2478,2.2571,2.5801,0.323,20.717775,,
925,21.8112,22.6681,0.8569,42.6210225,,
3322,8.8579,9.5407,0.6828,35.47857,,
657,8.2333,8.8312,0.5979,31.9955475,,
244,6.5658,7.1778,0.612,32.574,,
1537,16.4334,17.5646,1.1312,53.87418,,
533,8.7042,9.4422,0.738,37.74315,,
766,8.2335,8.8203,0.5868,31.54017,,
2401,29.0878,30.7028,1.615,73.722075,,
3289,15.2435,16.2852,1.0417,50.2024425,,
478,3.6647,4.1983,0.5336,29.35764,,
417,10.2432,10.5371,0.2939,19.5239475,,
697,25.918,27.1843,1.2663,59.4166575,,
