Time.Point,Frag.ID,channel,round,chamber,surface_area,vol,Photo,Resp,PR
T1,N169,7,5,7,20.82444,248,9.09E-05,-0.00011137,0.816632155
T0,N170,2,6,2,44.42202,248,0.000125568,-0.000151569,0.82845344
T1,N170,4,4,4,44.42202,248,0.000117705,-7.15E-05,1.645922514
T0,N172,2,8,2,18.92088,248,0.000196161,-0.000157191,1.247916845
T1,N172,2,5,2,18.92088,248,0.000189787,-0.000151784,1.25037378
T0,N18,2,3,2,42.575895,248,6.60E-05,-0.000101935,0.647021834
T0,N181,2,10,2,38.4692925,248,0.00023863,-0.000178319,1.33822037
T0,N181,6,8,6,38.4692925,248,0.000231918,-0.000176063,1.317245154
T1,N181,6,9,6,38.4692925,248,0.000139008,-0.000179789,0.773173916
T0,N183,8,4,8,24.2172075,248,0.000161453,-9.82E-05,1.644596173
T1,N183,2,1,2,24.2172075,248,0.000175841,-0.000122596,1.434309639
T0,N184,4,7,4,17.6121825,248,0.000171851,-0.000106089,1.619876991
T1,N184,7,11,7,17.6121825,248,0.00017716,-0.000124738,1.420251956
T0,N189,4,2,4,14.5188975,248,0.000140705,-0.000164222,0.856794537
T1,N189,2,13,2,14.5188975,248,0.000150419,-0.000223979,0.671576099
TF,N189,5,18,5,14.5188975,248,0.000156708,-0.00018008,0.870211601
T0,N19,6,5,6,42.84666,248,0.000256823,-0.000154839,1.658643865
T0,N190,5,2,5,22.9946625,248,0.000159423,-0.000134472,1.185541632
T1,N190,2,17,2,22.9946625,248,1.36E-06,-9.65E-05,0.014115974
T0,N191,4,11,4,26.43666,248,9.40E-05,-0.000101447,0.926675984
T1,N191,4,13,4,26.43666,248,5.61E-05,-9.01E-05,0.622197452
TF,N191,5,24,5,26.43666,248,1.26E-05,-7.60E-05,0.165442664
T0,N192,4,5,4,27.3597225,248,0.000220749,-0.000107882,2.046212708
T1,N192,2,17,2,27.3597225,248,0.000183792,-0.000120041,1.531068864
T0,N197,5,6,5,38.1657075,248,0.000187098,-0.000143322,1.305434929
T0,N197,7,4,7,38.1657075,248,0.000182023,-0.000157812,1.153418996
T1,N197,2,19,2,38.1657075,248,2.47E-05,-0.000111698,0.221409863
T0,N198,4,9,4,51.3511425,248,0.000273669,-0.000160997,1.699844823
T1,N198,7,10,7,51.3511425,248,0.000120323,-0.000169994,0.707808723
T0,N2,4,8,4,22.8223575,248,0.000172466,-7.09E-05,2.430950259
T0,N205,2,9,2,31.9217025,248,0.000137522,-0.000130828,1.051162407
T1,N205,6,8,6,31.9217025,248,0.00024141,-0.000167988,1.437067481
TF,N205,5,5,5,31.9217025,248,0.000293653,-0.000159222,1.84430563
T0,N208,4,3,4,22.4859525,248,0.000189946,-0.000102942,1.845172488
T1,N208,5,19,5,22.4859525,248,0.000198917,-0.00010671,1.864091261
TF,N208,4,17,4,22.4859525,248,0.000265946,-0.00010586,2.512240289
T0,N209,4,12,4,54.0259725,248,0.000142853,-0.000123819,1.153721152
T0,N209,9,2,9,54.0259725,248,6.85E-05,-0.000118735,0.577054752
T1,N209,6,12,6,54.0259725,248,6.49E-05,-8.67E-05,0.748500393
T0,N21,3,1,3,13.201995,248,0.000152374,-0.000111421,1.367552293
T0,N211,5,4,5,25.6120575,248,0.000251972,-0.000179018,1.407524246
T0,N211,7,6,7,25.6120575,248,0.000234368,-0.000174187,1.345496831
T1,N211,4,18,4,25.6120575,248,0.000263904,-0.000175955,1.499839599
TF,N211,4,14,4,25.6120575,248,0.000373948,-0.000203057,1.841593307
T0,N212,8,8,8,17.813205,248,0.000165677,-0.000106113,1.561324313
T1,N212,5,4,5,17.813205,248,9.50E-05,-9.63E-05,0.986053701
TF,N212,5,8,5,17.813205,248,0.000401199,-0.000110465,3.631910816
T0,N217,6,3,6,34.29705,248,0.000110549,-0.00011379,0.971515499
T1,N217,3,20,3,34.29705,248,1.30E-05,-7.03E-05,0.184869986
T0,N222,8,11,8,29.60379,248,0.000251037,-0.000133177,1.884983826
T1,N222,6,17,6,29.60379,248,7.95E-05,-0.000120673,0.65851786
T0,N223,2,3,2,16.270665,248,0.000192778,-0.000123205,1.564689459
T1,N223,7,18,7,16.270665,248,0.000196821,-0.000142064,1.385443598
T0,N25,6,3,6,40.2251625,248,0.000249088,-0.000151041,1.649136445
T0,N3,2,6,2,18.8019075,248,0.000453501,-0.000204731,2.215104483
T0,N30,5,4,5,24.5043825,248,0.000144061,-9.47E-05,1.521994991
T0,N33,3,6,3,14.21121,248,0.000260031,-0.000101989,2.549593846
T0,N35,5,8,5,58.48539,248,9.63E-05,-4.09E-05,2.354921655
T0,N37,8,5,8,22.1085225,248,0.000286431,-0.000177124,1.617121981
T1,N37,5,3,5,22.1085225,248,0.00027884,-0.00016688,1.670902096
T0,N40,5,3,5,14.37531,248,0.000156597,-9.85E-05,1.589761197
T0,N42,6,9,6,36.8364975,248,0.000281649,-6.73E-05,4.183708829
T1,N42,5,7,5,36.8364975,248,0.000179385,-0.000101513,1.767120689
T0,N45,5,5,5,24.3648975,248,0.000250447,-0.000119485,2.096059198
T1,N45,3,2,3,24.3648975,248,0.000213406,-0.000106161,2.010220918
T0,N47,2,5,2,36.8364975,248,0.000357928,-0.000185078,1.933935315
T0,N49,6,11,6,45.5173875,248,0.000108043,-6.21E-05,1.739507459
T1,N49,5,13,5,45.5173875,248,0.000151398,-6.30E-05,2.402259971
TF,N49,4,20,4,45.5173875,248,0.000147297,-5.21E-05,2.828865366
T0,N50,6,4,6,20.619315,248,0.000370445,-0.000179055,2.068892937
T0,N55,6,2,6,39.53184,248,0.000284764,-0.000168099,1.694023317
T1,N55,6,11,6,39.53184,248,5.40E-05,-6.40E-05,0.844857845
TF,N55,4,15,4,39.53184,248,0.00020168,-0.000121361,1.661821927
T0,N56,6,1,6,29.3863575,248,7.88E-05,-0.000155527,0.506797955
T0,N60,8,6,8,26.100255,248,0.000382656,-0.000150837,2.53689049
T0,N63,7,2,7,24.6110475,248,0.000163309,-0.000124341,1.313400585
T1,N63,3,16,3,24.6110475,248,0.000112842,-8.35E-05,1.35152036
T0,N64,8,5,8,18.0552525,248,0.000167579,-9.37E-05,1.789414443
T0,N7,2,1,2,17.0788575,248,0.00030647,-0.000159504,1.921391739
T0,N70,8,8,8,17.1034725,248,0.00048698,-0.000231458,2.103968384
T0,N72,5,6,5,64.04838,248,0.000277221,-0.000102586,2.702319206
T0,N77,6,5,6,52.95522,248,0.00011711,-8.91E-05,1.314924628
T1,N77,5,4,5,52.95522,248,0.000190414,-0.000123104,1.546771548
TF,N77,5,3,5,52.95522,248,0.000197488,-0.000117927,1.67465971
T0,N78,3,5,3,26.215125,248,0.000366659,-0.00020921,1.752584391
T1,N78,5,16,5,26.215125,248,0.000322885,-0.000142352,2.268215146
T0,N82,8,4,8,24.6192525,248,0.000303829,-0.000139367,2.180071189
