Frag.ID,Parent.ID,Treatment,Species,Time.Point,Depth,Tank.num,
N2,306,Ambient,Pocillopora_acuta,T0,6.1,11,
431,306,Ambient,Pocillopora_acuta,T1,6.1,8,
2402,306,High,Pocillopora_acuta,T1,6.1,3,
779,306,Ambient,Pocillopora_acuta,TF,6.1,9,
3486,306,High,Pocillopora_acuta,TF,6.1,6,
N30,307,Ambient,Pocillopora_acuta,T0,4.9,4,
N170,307,Ambient,Pocillopora_acuta,T1,4.9,1,
3025,307,High,Pocillopora_acuta,T1,4.9,3,
N158,307,Ambient,Pocillopora_acuta,TF,4.9,5,
3489,307,High,Pocillopora_acuta,TF,4.9,7,
N4,308,Ambient,Pocillopora_acuta,T0,6.7,9,
1443,308,Ambient,Pocillopora_acuta,T1,6.7,5,
3490,308,High,Pocillopora_acuta,T1,6.7,11,
N132,308,Ambient,Pocillopora_acuta,TF,6.7,9,
3515,308,High,Pocillopora_acuta,TF,6.7,2,
N56,309,Ambient,Pocillopora_acuta,T0,5.5,1,
N197,309,Ambient,Pocillopora_acuta,T1,5.5,8,
3086,309,High,Pocillopora_acuta,T1,5.5,11,
403,309,Ambient,Pocillopora_acuta,TF,5.5,9,
3516,309,High,Pocillopora_acuta,TF,5.5,6,
N6,310,Ambient,Pocillopora_acuta,T0,4,8,
N104,310,Ambient,Pocillopora_acuta,T1,4,8,
3512,310,High,Pocillopora_acuta,T1,4,7,
428,310,Ambient,Pocillopora_acuta,TF,4,1,
477,310,High,Pocillopora_acuta,TF,4,11,
N85,311,Ambient,Pocillopora_acuta,T0,7.3,4,
N89,311,Ambient,Pocillopora_acuta,T1,7.3,4,
2736,311,High,Pocillopora_acuta,T1,7.3,11,
N102,311,Ambient,Pocillopora_acuta,TF,7.3,5,
2893,311,High,Pocillopora_acuta,TF,7.3,2,
755,312,High,Pocillopora_acuta,T0,5.8,5,
1895,312,Ambient,Pocillopora_acuta,T1,5.8,1,
3477,312,High,Pocillopora_acuta,T1,5.8,3,
2226,312,Ambient,Pocillopora_acuta,TF,5.8,8,
3481,312,High,Pocillopora_acuta,TF,5.8,7,
N70,313,High,Porites_compressa,T0,5.8,11,
N161,313,Ambient,Porites_compressa,T1,5.8,1,
3475,313,High,Porites_compressa,T1,5.8,6,
N189,313,Ambient,Porites_compressa,TF,5.8,4,
3471,313,High,Porites_compressa,TF,5.8,11,
74,314,High,Porites_compressa,T0,2.1,3,
284,314,Ambient,Porites_compressa,T1,2.1,4,
3514,314,High,Porites_compressa,T1,2.1,2,
N77,314,Ambient,Porites_compressa,TF,2.1,1,
3480,314,High,Porites_compressa,TF,2.1,3,
N107,315,High,Porites_compressa,T0,2.5,6,
2286,315,Ambient,Porites_compressa,T1,2.5,1,
3488,315,High,Porites_compressa,T1,2.5,6,
3337,315,Ambient,Porites_compressa,TF,2.5,5,
3444,315,High,Porites_compressa,TF,2.5,11,
N47,316,High,Porites_compressa,T0,2,6,
N181,316,Ambient,Porites_compressa,T1,2,9,
946,316,High,Porites_compressa,T1,2,3,
N211,316,Ambient,Porites_compressa,TF,2,8,
972,316,High,Porites_compressa,TF,2,11,
49,317,High,Porites_compressa,T0,2.2,2,
199,317,Ambient,Porites_compressa,T1,2.2,4,
3340,317,High,Porites_compressa,T1,2.2,2,
N98,317,Ambient,Porites_compressa,TF,2.2,9,
3517,317,High,Porites_compressa,TF,2.2,3,
N60,318,High,Porites_compressa,T0,2.1,7,
N124,318,Ambient,Porites_compressa,T1,2.1,5,
3442,318,Ambient,Porites_compressa,TF,2.1,8,
634,318,High,Porites_compressa,T1,2.1,2,
N55,318,High,Porites_compressa,TF,2.1,6,
N19,319,Ambient,Porites_compressa,T0,3.1,5,
N117,319,Ambient,Porites_compressa,T1,3.1,1,
N134,319,High,Porites_compressa,T1,3.1,2,
N122,319,Ambient,Porites_compressa,TF,3.1,4,
3476,319,High,Porites_compressa,TF,3.1,11,
31,320,Ambient,Porites_compressa,T0,0.8,9,
650,320,Ambient,Porites_compressa,T1,0.8,5,
3458,320,High,Porites_compressa,T1,0.8,6,
N205,320,Ambient,Porites_compressa,TF,0.8,5,
3485,320,High,Porites_compressa,TF,0.8,7,
N7,321,Ambient,Porites_compressa,T0,1.3,1,
N149,321,Ambient,Porites_compressa,T1,1.3,5,
1110,321,High,Porites_compressa,T1,1.3,3,
N105,321,Ambient,Porites_compressa,TF,1.3,8,
3491,321,High,Porites_compressa,TF,1.3,7,
N3,322,Ambient,Porites_compressa,T0,1.5,8,
N37,322,Ambient,Porites_compressa,T1,1.5,1,
N157,322,High,Porites_compressa,T1,1.5,6,
N115,322,Ambient,Porites_compressa,TF,1.5,4,
1502,322,High,Porites_compressa,TF,1.5,7,
N25,323,Ambient,Porites_compressa,T0,1,4,
809,323,Ambient,Porites_compressa,T1,1,8,
3468,323,High,Porites_compressa,T1,1,3,
579,323,Ambient,Porites_compressa,TF,1,9,
3467,323,High,Porites_compressa,TF,1,7,
N50,324,Ambient,Porites_compressa,T0,0.8,5,
N78,324,Ambient,Porites_compressa,T1,0.8,8,
226,324,High,Porites_compressa,T1,0.8,7,
N131,324,Ambient,Porites_compressa,TF,0.8,9,
N138,324,High,Porites_compressa,TF,0.8,11,
238,325,High,Pavona_varians,TThreeM,2.6,,REMOVE
417,356,Ambient,Pavona_varians,TThreeM,5,,REMOVE
478,312,Ambient,Pocillopora_acuta,TThreeM,5.8,,REMOVE
508,322,High,Porites_compressa,TThreeM,1.5,,REMOVE
617,305,High,Pocillopora_acuta,TThreeM,6.1,,REMOVE
626,314,Ambient,Porites_compressa,TThreeM,2.1,,REMOVE
657,374,Ambient,Montipora_capitata,TThreeM,3.2,,REMOVE
697,321,Ambient,Porites_compressa,TThreeM,1.3,,REMOVE
706,301,Ambient,Pocillopora_acuta,TThreeM,4.9,,REMOVE
766,324,Ambient,Porites_compressa,TThreeM,0.8,,REMOVE
828,358,Ambient,Pavona_varians,TThreeM,4.8,,REMOVE
881,366,High,Montipora_capitata,TThreeM,7,6,REMOVE
907,353,Ambient,Pavona_varians,TThreeM,3.6,,REMOVE
925,351,High,Pavona_varians,TThreeM,4.6,,REMOVE
965,373,Ambient,Montipora_capitata,TThreeM,5.3,,REMOVE
982,318,Ambient,Porites_compressa,TThreeM,2.1,,REMOVE
1008,319,High,Porites_compressa,TThreeM,3.1,,REMOVE
1013,302,High,Pocillopora_acuta,TThreeM,4.6,,REMOVE
1107,310,High,Pocillopora_acuta,TThreeM,4,,REMOVE
1284,304,High,Pocillopora_acuta,TThreeM,6.4,2,REMOVE
1330,305,Ambient,Pocillopora_acuta,TThreeM,6.1,,REMOVE
1412,303,Ambient,Pocillopora_acuta,TThreeM,4.9,,REMOVE
1533,371,Ambient,Montipora_capitata,TThreeM,3.4,,REMOVE
1537,316,Ambient,Porites_compressa,TThreeM,2,,REMOVE
1929,355,High,Pavona_varians,TThreeM,3.8,,REMOVE
2401,320,High,Porites_compressa,TThreeM,0.8,,REMOVE
2478,354,High,Pavona_varians,TThreeM,4.1,,REMOVE
2683,313,High,Porites_compressa,TThreeM,5.8,,REMOVE
2730,367,High,Montipora_capitata,TThreeM,5.8,,REMOVE
3075,308,Ambient,Pocillopora_acuta,TThreeM,6.7,,REMOVE
3116,370,High,Montipora_capitata,TThreeM,3.7,,REMOVE
3199,372,High,Montipora_capitata,TThreeM,5.6,,REMOVE
3224,364,High,Montipora_capitata,TThreeM,6,,REMOVE
3289,315,High,Porites_compressa,TThreeM,2.5,,REMOVE
3323,315,Ambient,Porites_compressa,TThreeM,2.5,,REMOVE
3357,323,High,Porites_compressa,TThreeM,1,,REMOVE
