"","X","otu_genus","Sample","Abundance","sample_name.1","Type","Parent.ID","Treatment","Species","Time.Point","Depth","Tank.num","Clade","Dups","Frag.ID","Domain","Phylum","Order","Class","Family","top.group"
"50",103,"Otu00062-Alteromonas","S153",0.005,"S153","sample",371,"Ambient","Montipora_capitata","T1",3.4,9,"C","","153","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","differential"
"51",128,"Otu00062-Alteromonas","SN94",0.005,"SN94","sample",367,"High","Montipora_capitata","T0",5.8,2,"C","","N94","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","differential"
"52",255,"Otu00529-JGI_0000069-P22_ge","SN110",0.005,"SN110","sample",369,"Ambient","Montipora_capitata","TF",3.3,4,"CD","","N110","Bacteria","Patescibacteria","Gracilibacteria","JGI_0000069-P22","JGI_0000069-P22_fa","differential"
"53",228,"Otu00529-JGI_0000069-P22_ge","S153",0.00466666666666667,"S153","sample",371,"Ambient","Montipora_capitata","T1",3.4,9,"C","","153","Bacteria","Patescibacteria","Gracilibacteria","JGI_0000069-P22","JGI_0000069-P22_fa","differential"
"54",124,"Otu00062-Alteromonas","S848",0.00433333333333333,"S848","sample",367,"Ambient","Montipora_capitata","T1",5.8,5,"C","","848","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","differential"
"55",209,"Otu00102-Pseudoalteromonas","SN110",0.00433333333333333,"SN110","sample",369,"Ambient","Montipora_capitata","TF",3.3,4,"CD","","N110","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","differential"
"56",27,"Otu00025-Ruegeria","SN72",0.004,"SN72","sample",368,"High","Montipora_capitata","T0",3.7,7,"CD","","N72","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","differential"
"57",32,"Otu00025-Ruegeria","SN92",0.004,"SN92","sample",368,"Ambient","Montipora_capitata","T1",3.7,8,"CD","","N92","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","differential"
"58",43,"Otu00025-Ruegeria","SN42",0.004,"SN42","sample",364,"Ambient","Montipora_capitata","TF",6,5,"CD","","N42","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","differential"
"59",6,"Otu00025-Ruegeria","S377",0.00366666666666667,"S377","sample",373,"Ambient","Montipora_capitata","TF",5.3,5,"C","","377","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","differential"
"60",89,"Otu00062-Alteromonas","S1791",0.00366666666666667,"S1791","sample",363,"High","Montipora_capitata","T1",5.4,6,"C","","1791","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","differential"
"61",146,"Otu00092-uncultured","S3469",0.00366666666666667,"S3469","sample",374,"High","Montipora_capitata","T1",3.2,6,"CD","","3469","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Nannocystaceae","differential"
"62",153,"Otu00092-uncultured","S848",0.00366666666666667,"S848","sample",367,"Ambient","Montipora_capitata","T1",5.8,5,"C","","848","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Nannocystaceae","differential"
"63",108,"Otu00062-Alteromonas","SN72",0.00333333333333333,"SN72","sample",368,"High","Montipora_capitata","T0",3.7,7,"CD","","N72","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","differential"
"64",121,"Otu00062-Alteromonas","SN33",0.00333333333333333,"SN33","sample",364,"High","Montipora_capitata","T0",6,7,"CD","","N33","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","differential"
"65",139,"Otu00092-uncultured","S1437",0.00333333333333333,"S1437","sample",367,"High","Montipora_capitata","TF",5.8,6,"C","","1437","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Nannocystaceae","differential"
"66",155,"Otu00092-uncultured","SN192",0.00333333333333333,"SN192","sample",373,"Ambient","Montipora_capitata","T1",5.3,8,"C","","N192","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Nannocystaceae","differential"
"67",235,"Otu00529-JGI_0000069-P22_ge","SN42",0.00333333333333333,"SN42","sample",364,"Ambient","Montipora_capitata","TF",6,5,"CD","","N42","Bacteria","Patescibacteria","Gracilibacteria","JGI_0000069-P22","JGI_0000069-P22_fa","differential"
"68",50,"Otu00058-Prosthecochloris","S1437",0.003,"S1437","sample",367,"High","Montipora_capitata","TF",5.8,6,"C","","1437","Bacteria","Bacteroidetes","Chlorobia","Chlorobiales","Chlorobiaceae","differential"
"69",21,"Otu00025-Ruegeria","SN64",0.00266666666666667,"SN64","sample",366,"High","Montipora_capitata","T0",7,6,"CD","","N64","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","differential"
"70",95,"Otu00062-Alteromonas","SN172",0.00266666666666667,"SN172","sample",374,"Ambient","Montipora_capitata","T1",3.2,5,"CD","","N172","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","differential"
"71",130,"Otu00062-Alteromonas","SN45",0.00266666666666667,"SN45","sample",369,"Ambient","Montipora_capitata","T1",3.3,1,"CD","","N45","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","differential"
"72",132,"Otu00062-Alteromonas","SN96",0.00266666666666667,"SN96","sample",368,"Ambient","Montipora_capitata","TF",3.7,9,"CD","","N96","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","differential"
"73",140,"Otu00092-uncultured","S3422",0.00266666666666667,"S3422","sample",373,"High","Montipora_capitata","TF",5.3,7,"C","","3422","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Nannocystaceae","differential"
"74",12,"Otu00025-Ruegeria","S419",0.00233333333333333,"S419","sample",370,"Ambient","Montipora_capitata","T1",3.7,5,"C","","419","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","differential"
"75",31,"Otu00025-Ruegeria","SN33",0.00233333333333333,"SN33","sample",364,"High","Montipora_capitata","T0",6,7,"CD","","N33","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","differential"
"76",93,"Otu00062-Alteromonas","S2284",0.00233333333333333,"S2284","sample",369,"High","Montipora_capitata","TF",3.3,6,"CD","","2284","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","differential"
"77",185,"Otu00102-Pseudoalteromonas","S419",0.00233333333333333,"S419","sample",370,"Ambient","Montipora_capitata","T1",3.7,5,"C","","419","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","differential"
"78",2,"Otu00025-Ruegeria","S1104",0.002,"S1104","sample",365,"Ambient","Montipora_capitata","TF",6.7,4,"CD","","1104","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","differential"
"79",3,"Otu00025-Ruegeria","S1437",0.002,"S1437","sample",367,"High","Montipora_capitata","TF",5.8,6,"C","","1437","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","differential"
"80",126,"Otu00062-Alteromonas","SN92",0.002,"SN92","sample",368,"Ambient","Montipora_capitata","T1",3.7,8,"CD","","N92","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","differential"
"81",165,"Otu00092-uncultured","SN150",0.002,"SN150","sample",364,"High","Montipora_capitata","T1",6,11,"CD","","N150","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Nannocystaceae","differential"
"82",40,"Otu00025-Ruegeria","SN190",0.00166666666666667,"SN190","sample",366,"High","Montipora_capitata","T1",7,2,"CD","","N190","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","differential"
"83",106,"Otu00062-Alteromonas","S419",0.00166666666666667,"S419","sample",370,"Ambient","Montipora_capitata","T1",3.7,5,"C","","419","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","differential"
"84",181,"Otu00102-Pseudoalteromonas","S1133",0.00166666666666667,"S1133","sample",368,"High","Montipora_capitata","T1",3.7,11,"CD","","1133","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","differential"
"85",204,"Otu00102-Pseudoalteromonas","SN33",0.00166666666666667,"SN33","sample",364,"High","Montipora_capitata","T0",6,7,"CD","","N33","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","differential"
"86",216,"Otu00102-Pseudoalteromonas","SN42",0.00166666666666667,"SN42","sample",364,"Ambient","Montipora_capitata","TF",6,5,"CD","","N42","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","differential"
"87",220,"Otu00102-Pseudoalteromonas","SN45",0.00166666666666667,"SN45","sample",369,"Ambient","Montipora_capitata","T1",3.3,1,"CD","","N45","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","differential"
"88",254,"Otu00529-JGI_0000069-P22_ge","SN152",0.00166666666666667,"SN152","sample",374,"Ambient","Montipora_capitata","TF",3.2,8,"CD","","N152","Bacteria","Patescibacteria","Gracilibacteria","JGI_0000069-P22","JGI_0000069-P22_fa","differential"
"89",4,"Otu00025-Ruegeria","S1133",0.00133333333333333,"S1133","sample",368,"High","Montipora_capitata","T1",3.7,11,"CD","","1133","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","differential"
"90",14,"Otu00025-Ruegeria","S179",0.00133333333333333,"S179","sample",369,"High","Montipora_capitata","T1",3.3,2,"CD","","179","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","differential"
"91",102,"Otu00062-Alteromonas","S1753b",0.00133333333333333,"S1753b","sample",370,"Ambient","Montipora_capitata","T0",3.7,9,"C","Yes","1753","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","differential"
"92",104,"Otu00062-Alteromonas","S3469",0.00133333333333333,"S3469","sample",374,"High","Montipora_capitata","T1",3.2,6,"CD","","3469","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","differential"
"93",173,"Otu00092-uncultured","SN172",0.00133333333333333,"SN172","sample",374,"Ambient","Montipora_capitata","T1",3.2,5,"CD","","N172","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Nannocystaceae","differential"
"94",238,"Otu00529-JGI_0000069-P22_ge","S377",0.00133333333333333,"S377","sample",373,"Ambient","Montipora_capitata","TF",5.3,5,"C","","377","Bacteria","Patescibacteria","Gracilibacteria","JGI_0000069-P22","JGI_0000069-P22_fa","differential"
"95",135,"Otu00092-uncultured","S419",0.001,"S419","sample",370,"Ambient","Montipora_capitata","T1",3.7,5,"C","","419","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Nannocystaceae","differential"
"96",136,"Otu00092-uncultured","S3204",0.001,"S3204","sample",370,"High","Montipora_capitata","TF",3.7,11,"C",NA,"3204","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Nannocystaceae","differential"
"97",159,"Otu00092-uncultured","SN110",0.001,"SN110","sample",369,"Ambient","Montipora_capitata","TF",3.3,4,"CD","","N110","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Nannocystaceae","differential"
"98",166,"Otu00092-uncultured","SN42",0.001,"SN42","sample",364,"Ambient","Montipora_capitata","TF",6,5,"CD","","N42","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Nannocystaceae","differential"
"99",177,"Otu00102-Pseudoalteromonas","S1104",0.001,"S1104","sample",365,"Ambient","Montipora_capitata","TF",6.7,4,"CD","","1104","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","differential"
"100",200,"Otu00102-Pseudoalteromonas","SN72",0.001,"SN72","sample",368,"High","Montipora_capitata","T0",3.7,7,"CD","","N72","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","differential"
"101",214,"Otu00102-Pseudoalteromonas","S3473",0.001,"S3473","sample",372,"High","Montipora_capitata","TF",5.6,6,"C","","3473","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","differential"
"102",223,"Otu00529-JGI_0000069-P22_ge","S179",0.001,"S179","sample",369,"High","Montipora_capitata","T1",3.3,2,"CD","","179","Bacteria","Patescibacteria","Gracilibacteria","JGI_0000069-P22","JGI_0000069-P22_fa","differential"
"103",229,"Otu00529-JGI_0000069-P22_ge","S1226",0.001,"S1226","sample",370,"Ambient","Montipora_capitata","TF",3.7,9,"C","","1226","Bacteria","Patescibacteria","Gracilibacteria","JGI_0000069-P22","JGI_0000069-P22_fa","differential"
"104",129,"Otu00062-Alteromonas","SN42",0.000666666666666667,"SN42","sample",364,"Ambient","Montipora_capitata","TF",6,5,"CD","","N42","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","differential"
"105",131,"Otu00062-Alteromonas","SN49",0.000666666666666667,"SN49","sample",372,"Ambient","Montipora_capitata","T1",5.6,4,"C","","N49","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","differential"
"106",134,"Otu00092-uncultured","S1104",0.000666666666666667,"S1104","sample",365,"Ambient","Montipora_capitata","TF",6.7,4,"CD","","1104","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Nannocystaceae","differential"
"107",142,"Otu00092-uncultured","S377",0.000666666666666667,"S377","sample",373,"Ambient","Montipora_capitata","TF",5.3,5,"C","","377","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Nannocystaceae","differential"
"108",184,"Otu00102-Pseudoalteromonas","S3479",0.000666666666666667,"S3479","sample",367,"High","Montipora_capitata","T1",5.8,3,"C","","3479","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","differential"
"109",192,"Otu00102-Pseudoalteromonas","S377",0.000666666666666667,"S377","sample",373,"Ambient","Montipora_capitata","TF",5.3,5,"C","","377","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","differential"
"110",208,"Otu00102-Pseudoalteromonas","S3472",0.000666666666666667,"S3472","sample",372,"High","Montipora_capitata","T1",5.6,3,"C","","3472","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","differential"
"111",217,"Otu00102-Pseudoalteromonas","SN152",0.000666666666666667,"SN152","sample",374,"Ambient","Montipora_capitata","TF",3.2,8,"CD","","N152","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","differential"
"112",230,"Otu00529-JGI_0000069-P22_ge","S1104",0.000666666666666667,"S1104","sample",365,"Ambient","Montipora_capitata","TF",6.7,4,"CD","","1104","Bacteria","Patescibacteria","Gracilibacteria","JGI_0000069-P22","JGI_0000069-P22_fa","differential"
"113",262,"Otu00529-JGI_0000069-P22_ge","S848",0.000666666666666667,"S848","sample",367,"Ambient","Montipora_capitata","T1",5.8,5,"C","","848","Bacteria","Patescibacteria","Gracilibacteria","JGI_0000069-P22","JGI_0000069-P22_fa","differential"
"114",137,"Otu00092-uncultured","S1226",0.000333333333333333,"S1226","sample",370,"Ambient","Montipora_capitata","TF",3.7,9,"C","","1226","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Nannocystaceae","differential"
"115",154,"Otu00092-uncultured","SN33",0.000333333333333333,"SN33","sample",364,"High","Montipora_capitata","T0",6,7,"CD","","N33","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Nannocystaceae","differential"
"116",226,"Otu00529-JGI_0000069-P22_ge","S3479",0.000333333333333333,"S3479","sample",367,"High","Montipora_capitata","T1",5.8,3,"C","","3479","Bacteria","Patescibacteria","Gracilibacteria","JGI_0000069-P22","JGI_0000069-P22_fa","differential"
