sample_uid	sample_name	raw_contigs	post_qc_absolute_seqs	post_qc_unique_seqs	post_taxa_id_absolute_symbiodiniaceae_seqs	post_taxa_id_unique_symbiodiniaceae_seqs	size_screening_violation_absolute	size_screening_violation_unique	post_taxa_id_absolute_non_symbiodiniaceae_seqs	post_taxa_id_unique_non_symbiodiniaceae_seqs	post_med_absolute	post_med_unique	noName Clade A	noName Clade B	noName Clade C	noName Clade D	noName Clade E	noName Clade F	noName Clade G	noName Clade H	noName Clade I	sample_type	host_phylum	host_class	host_order	host_family	host_genus	host_species	collection_latitude	collection_longitude	collection_date	collection_depth
112992	S809	30596	19350	286	19350	286	0	0	0	0	18582	36	0	0	4118	0	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	poritidae	porites	compressa	999.00000000	999.00000000	NoData	NoData
112981	S579	40772	28570	369	28570	369	0	0	0	0	27395	36	0	0	5900	0	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	poritidae	porites	compressa	999.00000000	999.00000000	NoData	NoData
113171	SN50	37823	25222	431	25222	431	0	0	0	0	23808	39	0	0	4957	0	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	poritidae	porites	compressa	999.00000000	999.00000000	NoData	NoData
113182	SN78	29968	19261	316	19261	316	0	0	0	0	18299	35	0	0	4153	0	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	poritidae	porites	compressa	999.00000000	999.00000000	NoData	NoData
113119	SN122	33982	25828	305	25828	305	0	0	0	0	24456	32	0	0	3097	0	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	poritidae	porites	compressa	999.00000000	999.00000000	NoData	NoData
113080	S3476	37017	16376	166	16376	166	0	0	0	0	15896	36	0	0	2008	9	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	poritidae	porites	compressa	999.00000000	999.00000000	NoData	NoData
113190	SN98	38138	29258	351	29255	350	0	0	3	1	27744	31	0	0	4285	0	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	poritidae	porites	compressa	999.00000000	999.00000000	NoData	NoData
113118	SN117	21607	13883	205	13883	205	0	0	0	0	13139	30	0	0	2050	0	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	poritidae	porites	compressa	999.00000000	999.00000000	NoData	NoData
113191	SN98b	26845	19392	253	19392	253	0	0	0	0	18463	33	0	0	3278	0	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	poritidae	porites	compressa	999.00000000	999.00000000	NoData	NoData
113169	SN49	36828	27395	359	27395	359	0	0	0	0	25801	34	0	0	4396	0	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	poritidae	porites	compressa	999.00000000	999.00000000	NoData	NoData
113086	S3485	31521	22358	324	22358	324	0	0	0	0	20841	29	0	0	3606	0	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	poritidae	porites	compressa	999.00000000	999.00000000	NoData	NoData
113066	S3340	30242	19665	264	19661	263	0	0	4	1	18663	31	0	0	3516	0	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	poritidae	porites	compressa	999.00000000	999.00000000	NoData	NoData
113144	SN19	38478	27916	349	27909	347	0	0	7	2	26951	34	0	0	3999	0	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	poritidae	porites	compressa	999.00000000	999.00000000	NoData	NoData
113071	S3458	17145	10779	155	10779	155	0	0	0	0	10379	32	0	0	2134	0	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	poritidae	porites	compressa	999.00000000	999.00000000	NoData	NoData
112985	S650	43636	26677	334	26677	334	0	0	0	0	25309	31	0	0	4921	0	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	poritidae	porites	compressa	999.00000000	999.00000000	NoData	NoData
113117	SN115	36360	27317	391	27317	391	0	0	0	0	26361	32	0	0	4428	0	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	poritidae	porites	compressa	999.00000000	999.00000000	NoData	NoData
113098	S3517	33702	25567	363	25567	363	0	0	0	0	23806	33	0	0	4288	0	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	poritidae	porites	compressa	999.00000000	999.00000000	NoData	NoData
113158	SN3	28619	20792	372	20792	372	0	0	0	0	20029	30	0	0	3183	0	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	poritidae	porites	compressa	999.00000000	999.00000000	NoData	NoData
113133	SN157	33197	22380	308	22380	308	0	0	0	0	21541	29	0	0	3722	0	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	poritidae	porites	compressa	999.00000000	999.00000000	NoData	NoData
113092	S3491	42262	31317	361	31314	360	0	0	3	1	30150	29	0	0	5215	0	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	poritidae	porites	compressa	999.00000000	999.00000000	NoData	NoData
113006	S1110	39180	29822	330	29817	329	0	0	5	1	28713	29	0	0	4967	0	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	poritidae	porites	compressa	999.00000000	999.00000000	NoData	NoData
113021	S1502	35759	24671	374	24671	374	0	0	0	0	23364	31	0	0	4269	0	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	poritidae	porites	compressa	999.00000000	999.00000000	NoData	NoData
113198	SN205	34486	25291	383	25291	383	0	0	0	0	23804	33	0	0	4652	0	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	poritidae	porites	compressa	999.00000000	999.00000000	NoData	NoData
112958	S199	29054	20804	299	20804	299	0	0	0	0	19482	33	0	0	4081	0	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	poritidae	porites	compressa	999.00000000	999.00000000	NoData	NoData
113162	SN37	31860	20972	276	20972	276	0	0	0	0	20036	30	0	0	3770	0	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	poritidae	porites	compressa	999.00000000	999.00000000	NoData	NoData
113181	SN77	40075	30935	395	30935	395	0	0	0	0	28781	28	0	0	5896	0	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	poritidae	porites	compressa	999.00000000	999.00000000	NoData	NoData
112954	S74	42677	32124	443	32124	443	0	0	0	0	30109	31	0	0	6160	0	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	poritidae	porites	compressa	999.00000000	999.00000000	NoData	NoData
113126	SN134b	31778	11738	146	11738	146	0	0	0	0	11086	32	9	0	1813	0	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	poritidae	porites	compressa	999.00000000	999.00000000	NoData	NoData
113083	S3480	38427	27297	349	27297	349	0	0	0	0	25756	28	0	0	5298	0	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	poritidae	porites	compressa	999.00000000	999.00000000	NoData	NoData
112953	S31	30841	21558	305	21555	304	0	0	3	1	20543	53	0	0	3801	95	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	poritidae	porites	compressa	999.00000000	999.00000000	NoData	NoData
113110	SN105	43542	33251	446	33251	446	0	0	0	0	31781	34	0	0	6520	0	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	poritidae	porites	compressa	999.00000000	999.00000000	NoData	NoData
113178	SN7	33324	23196	439	23196	439	0	0	0	0	21914	34	0	0	4422	0	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	poritidae	porites	compressa	999.00000000	999.00000000	NoData	NoData
112964	S284	31968	22255	333	22255	333	0	0	0	0	20532	29	0	0	4716	0	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	poritidae	porites	compressa	999.00000000	999.00000000	NoData	NoData
113095	S3514	31907	20812	294	20809	293	0	0	3	1	19569	29	0	0	4393	0	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	poritidae	porites	compressa	999.00000000	999.00000000	NoData	NoData
113130	SN149	26856	16467	257	16467	257	0	0	0	0	15507	33	0	0	3263	0	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	poritidae	porites	compressa	999.00000000	999.00000000	NoData	NoData
113145	SN190	26908	18335	254	18326	253	9	1	0	0	17586	41	0	0	1285	202	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	acroporidae	montipora	capitata	999.00000000	999.00000000	NoData	NoData
113160	SN33	34335	24410	309	24410	309	0	0	0	0	23314	40	0	0	1705	338	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	acroporidae	montipora	capitata	999.00000000	999.00000000	NoData	NoData
113036	S2018	36248	24880	284	24880	284	0	0	0	0	24032	28	0	0	871	187	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	acroporidae	montipora	capitata	999.00000000	999.00000000	NoData	NoData
113074	S3470	35208	25138	357	25126	354	7	2	5	1	23699	40	0	0	2146	322	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	acroporidae	montipora	capitata	999.00000000	999.00000000	NoData	NoData
